"metal","var","strata","n","units","armean","geomean","P5%","P10%","P25%","P50%","P75%","P90%","P95%"
"Al",NA,"All particpants",100,"_mcg_perL",15.07473,8.56770973495185,0.8177,1.902,5.7075,9.055,15.7,29.91,43.855
"Al",NA,"All particpants",100,"cr_mcg_g",27.7567052268809,13.1124111298903,1.19609113712374,2.65624820040311,6.97912335412336,12.2672811059908,30.0936090225564,65.0294117647059,103.231850117096
"Al","sex","Female",42,"_mcg_perL",16.9620476190476,8.53925390335052,0.7221,2.552,4.9725,7.655,13.225,31.59,53.3199999999999
"Al","sex","Male",58,"_mcg_perL",13.7080517241379,8.58837485897937,0.892,1.886,5.835,10.165,15.9,26.21,40.325
"Al","sex","Female",42,"cr_mcg_g",32.2693783996469,14.3556995231892,1.285004180602,3.91535211267606,8.16261348603737,14.2934952978056,27.11979889043,66.8381063705435,85.5950920245398
"Al","sex","Male",58,"cr_mcg_g",24.4889074121194,12.2798671034147,1.24586956521739,1.99209671373235,6.18001046572475,11.1560606060606,30.5169172932331,63.7272727272727,103.793911007026
"As",NA,"All particpants",100,"_mcg_perL",30.27341,8.9071813283003,0.7269,1.301,2.8075,8.7,24.15,59.07,170.25
"As",NA,"All particpants",100,"cr_mcg_g",37.8920103042277,13.6319538357717,1.2830298013245,2.53211538461539,5.51019230769231,13.593537414966,35.2414634146342,83.6772655007952,158.645379700563
"As","sex","Female",42,"_mcg_perL",37.8847142857143,10.1956032177383,0.6371,1.369,3.5325,9.785,24.85,71.23,223.2
"As","sex","Male",58,"_mcg_perL",24.761775862069,8.07705825397136,0.8782,1.305,2.59,7.635,22.2,58.69,69.395
"As","sex","Female",42,"cr_mcg_g",49.1002046643008,17.1402581429372,0.607320804195805,2.68614701910091,6.61530235271243,17.9061712846348,42.7769049489395,153.254781667268,194.929069144184
"As","sex","Male",58,"cr_mcg_g",29.775731629692,11.5487741946436,2.17604856512141,2.44400442477876,5.29876373626374,9.25900514579759,26.467987804878,53.4707070707072,114.242694805195
